,,Average,,Bridgewatch,,,,,,Fort Sterling,,,,,,
Timing,Item Name,T7,T8,BW 4.3,BW 5.2,BW 5.3,BW 6.1,BW 6.2,Last Checked,FS 4.3,FS 5.2,FS 5.3,FS T6.1,FS T6.2,Last Checked,
Weekly,Hammer of Justice,270.334,635.175,248.000,274.000,716.000,333.000,659.000,12-11-2024,263.000,239.000,704.000,265.000,744.000,13-11-2024,
Weekly,Earthrune Staff,275.834,723.600,265.000,304.000,816.000,310.000,863.000,12-11-2024,209.000,249.000,730.000,318.000,807.000,13-11-2024,
Monthly,1h Hammer,93.000,384.975,162.000,78.000,492.000,80.000,398.000,12-11-2024,90.000,66.000,478.000,82.000,343.000,13-11-2024,
Monthly,Heavy Mace,134.334,543.600,163.000,138.000,588.000,114.000,612.000,12-11-2024,138.000,128.000,621.000,125.000,595.000,13-11-2024,
Monthly,Bedrock,132.167,447.075,161.000,136.000,516.000,179.000,456.000,12-11-2024,106.000,101.000,531.000,110.000,484.000,13-11-2024,
Monthly,Oathkeepers,191.167,505.575,221.000,214.000,590.000,264.000,533.000,12-11-2024,154.000,167.000,590.000,127.000,534.000,13-11-2024,
Monthly,Icicle staff,151.000,460.350,224.000,149.000,300.000,136.000,675.000,12-11-2024,172.000,92.000,600.000,133.000,471.000,13-11-2024,
Weekly,Perma,237.500,550.125,222.000,298.000,627.000,281.000,662.000,12-11-2024,168.000,229.000,578.000,227.000,578.000,13-11-2024,
Weekly,Rootbound,241.334,625.725,265.000,265.000,730.000,270.000,706.000,12-11-2024,195.000,199.000,704.000,254.000,641.000,13-11-2024,
Monthly,Realmbreaker,171.834,383.400,171.000,166.000,438.000,190.000,464.000,12-11-2024,162.000,156.000,408.000,186.000,394.000,13-11-2024,
Monthly,Spirithunter,140.834,444.150,135.000,156.000,498.000,148.000,548.000,12-11-2024,128.000,140.000,462.000,138.000,466.000,13-11-2024,
Weekly,Spiked Gauntlets,162.834,537.075,236.000,121.000,582.000,134.000,576.000,12-11-2024,224.000,134.000,653.000,128.000,576.000,13-11-2024,
Weekly,Hellfire Hands,205.334,562.050,224.000,190.000,653.000,170.000,679.000,12-11-2024,237.000,203.000,593.000,208.000,573.000,13-11-2024,
